id,ssn,name,address,mobile,email,role,rank,licence,registration_date
1,1008953349,Eyþór Óli Borgþórsson,Brunahani 31,8453474,kroli95@gmail.com,Pilot,Copilot,Fokker232,2019-12-05 17:27:37.492230
2,1008953349,Sigurgeir Jónasson,Þingás 31,8453474,eythoroli95@gmail.com,Pilot,Copilot,Fokker232,2019-12-05 20:07:34.815100
3,8884449999,Heiðar Sigurjónsson,Þingás 31,8453474,eythoroli95@gmail.com,Pilot,Copilot,Fokker232,2019-12-05 20:23:22.161232
4,9933883300,Gunnar Jónsson,Þingás 31,8453474,eythoroli95@gmail.com,Pilot,Copilot,Fokker232,2019-12-05 20:32:19.559319
5,1234567890,Ingimundur Jónsson,Þingás 31,8453474,eythoroli95@gmail.com,Pilot,Copilot,Fokker232,2019-12-05 20:45:18.095017
6,1234567890,Nonni Jónsson,Hverfisbar,8453474,eythoroli95@gmail.com,Pilot,Copilot,Jumbo201,2019-12-05 20:49:51.086720
7,1234567890,Svanur Ketilsson,Hverfisbar,8453474,smurf@gmail.com,Pilot,Copilot,BOEING747,2019-12-06 15:53:38.540589
8,1234567890,Svanur Ketilsson,Hverfisbar,8453474,smurf@gmail.com,Pilot,Copilot,BOEING747,2019-12-06 15:56:38.820206
9,1234567890,Svanur Ketilsson,Hverfisbar,8453474,smurf@gmail.com,Pilot,Copilot,BOEING747,2019-12-06 15:56:49.565428
10,1234567891,Svanur Ketilsson,Hverfisbar,8453474,smurf@gmail.com,Pilot,Copilot,BOEING747,2019-12-06 15:58:04.131029
11,1234567892,Svanur Ketilsson,Hverfisbar,8453474,smurf@gmail.com,Pilot,Copilot,BOEING747,2019-12-06 15:58:11.842919
12,1234567890,Svanur Ketilsson,Hverfisbar,8453474,smurf@gmail.com,Pilot,Copilot,BOEING747,2019-12-06 15:59:36.558634
13,1234567890,Svanur Ketilsson,Hverfisbar,8453474,smurf@gmail.com,Pilot,Copilot,BOEING747,2019-12-07 18:31:40.430550
14,1234567890,Svanur Ketilsson,Hverfisbar,8453474,smurf@gmail.com,Pilot,Copilot,BOEING747,2019-12-07 18:58:40.765303
14,8884449999,Heiðar Sigurjónsson,Þingás 31,8453474,eythoroli95@gmail.com,Pilot,Copilot,Fokker232,2019-12-05 20:23:22.161232
16,1234567890,Svanur Ketilsson,Hverfisbar,8453474,smurf@gmail.com,Pilot,Copilot,BOEING747,2019-12-07 19:24:28.312309
17,1234567890,Ketil Svansson,Hverfisbar,8453474,smurf@gmail.com,Pilot,Copilot,BOEING747,2019-12-07 19:24:35.183893
18,5665552222,Lára,Irmagata 31,0934958,lara@gmail.com,Pilot,Copilot,Airmax,2019-12-07 21:17:15.289860
19,5665552222,Glæný Lára,Irmagata 31,0934958,lara@gmail.com,Pilot,Copilot,Airmax,2019-12-07 21:22:17.387590
20,2001933874,Gömul Lára,Bústaðarvegi 6,8922773,gamla@geit.org,Pilot,Captain,F1Fighters,2019-12-07 21:39:33.300255
21,5665552222,Glæný Lára,Irmagata 31,0934958,lara@gmail.com,Pilot,Copilot,Airmax,2019-12-07 21:24:55.542348
22,5665552222,Glæný Lára,Irmagata 31,0934958,lara@gmail.com,Pilot,Copilot,Airmax,2019-12-07 21:32:51.769349
23,5665552222,Glæný Lára,Irmagata 31,0934958,lara@gmail.com,Pilot,Copilot,Airmax,2019-12-07 21:33:13.760819
24,5665552222,Glæný Lára,Irmagata 31,0934958,lara@gmail.com,Pilot,Copilot,Airmax,2019-12-07 21:33:13.768817
25,hjkfdsa,rewqr,rewq,rew,,Pilot,Co-Pilot,rewwerew,
26,78932132,Laddi,Hafrahlíð 12,7832432,hjkfds@fs.is,Cabincrew,Flight Attendant,,2019-12-09 17:32:19.257985
